Date,Open,High,Low,Close,Volume,MA_10,MA_30,K,D,covid
2020-04-09,10173.25977,10246.83984,10092.36035,10119.42969,3058700.0,9815.317871699974,10234.654264699968,89.79179507877295,83.20244688659224,1
2020-04-10,10105.42969,10165.12012,10103.76953,10157.61035,2365200.0,9866.603906699975,10188.566927366635,87.08121346037683,88.46201360141346,2
2020-04-13,10147.55957,10179.40039,10080.65039,10099.21973,2456300.0,9902.889844499974,10144.086914366635,72.4290522115824,83.10068691691104,11
2020-04-14,10130.65039,10344.12988,10130.65039,10332.94043,2847000.0,9966.291895299972,10112.112598033302,78.52544673054182,79.34523746750067,0
2020-04-15,10366.76953,10461.83984,10366.76953,10447.20996,3333800.0,10048.069922499972,10088.004264699968,82.24228973294807,77.73226289169106,2
2020-04-16,10385.78027,10425.29004,10317.12988,10375.48047,2770300.0,10114.812012499971,10056.262956033304,90.13134770958679,83.63302805769253,0
2020-04-17,10554.54981,10710.15039,10552.58008,10597.04004,3725200.0,10208.153028199971,10029.752637033302,85.17950813361126,85.85104852538235,0
2020-04-20,10612.4502,10637.63965,10542.95996,10586.70996,2298700.0,10284.950000799974,9998.815625366637,79.35842788629296,84.88976124316396,27
2020-04-21,10544.79981,10544.79981,10278.9502,10288.41992,3392700.0,10314.153027999975,9964.36930369997,54.30888351552494,72.94893984514336,3
2020-04-22,10256.11035,10310.84961,10140.08984,10307.74023,2531000.0,10331.180077999974,9942.039323033305,36.76805331227384,56.81178823803089,1
2020-04-23,10370.12988,10462.7002,10294.87988,10366.50977,2633300.0,10355.888085999974,9920.804980699972,23.774643768178645,38.283860198659454,1
2020-04-24,10367.96973,10386.92969,10324.2002,10347.36035,2400100.0,10374.863085999974,9902.591992366635,36.92868125624037,32.4904594455646,1
2020-04-27,10407.49023,10578.95996,10407.49023,10567.26953,3281100.0,10421.668065999975,9907.423633033302,59.57102084610028,40.09144862350674,1
2020-04-28,10580.25,10620.51953,10537.70996,10616.05957,3260300.0,10449.979979999976,9923.663281366637,79.35538657425079,58.61836289219745,0
2020-04-29,10656.40039,10794.83008,10656.40039,10772.21973,3529100.0,10482.480956999974,9958.811621333305,97.29513201926537,78.74051314653913,0
2020-04-30,10826.25977,11012.78027,10826.25977,10992.13965,3909100.0,10544.146874999971,10010.561946899972,97.18386315149462,91.27812724833723,0
2020-05-04,10781.50977,10781.50977,10658.5,10720.48047,3113100.0,10556.490917999974,10060.622298499971,81.39635037078061,91.95844851384716,9
2020-05-05,10756.9502,10833.53027,10735.00977,10774.61035,2817200.0,10575.280956999975,10130.397982033306,66.19265219878764,81.59095524035459,0
2020-05-06,10771.08984,10828.73047,10708.09961,10774.98047,3137600.0,10623.937011999975,10181.761002899972,44.949675060257114,64.1795592099421,1
2020-05-07,10778.53027,10890.87012,10775.16016,10842.91992,2849600.0,10677.454980999975,10246.857324466639,45.064900143188744,52.06907580074481,1
2020-05-08,10883.21973,10970.7002,10883.21973,10901.41992,3169900.0,10730.945995999975,10300.717317899971,54.379112217073384,48.13122914017339,0
2020-05-11,10942.17969,11039.11035,10942.17969,11013.25977,3370600.0,10797.535937999975,10346.334310233306,74.01808045380717,57.820697604690075,0
2020-05-12,10974.50977,10974.50977,10854.50977,10879.46973,3047800.0,10828.755957999974,10384.437956166641,73.92373402226727,67.44030889771625,0
2020-05-13,10861.00977,10938.26953,10828.92969,10938.26953,2677400.0,10860.976953999974,10425.74960976664,68.58589743273546,72.17590396960361,0
2020-05-14,10894.16992,10894.16992,10777.45996,10780.87988,3054300.0,10861.842968999976,10464.131282833308,38.29144629995621,60.267025918319966,0
2020-05-15,10833.16016,10904.00977,10730.54981,10814.91992,2749400.0,10844.120995999976,10501.02662783331,30.14856624333076,45.675303325341126,0
2020-05-18,10753.20996,10812.87012,10730.7002,10740.54981,2716100.0,10846.127929999975,10536.923958733309,10.916406845443824,26.45213979624392,0
2020-05-19,10812.79004,10924.79004,10812.79004,10860.44043,3048200.0,10854.710937999975,10571.647298599975,31.32461277655477,24.1298619551101,0
2020-05-20,10892.75977,10933.98047,10860.15039,10907.79981,2731300.0,10867.992871999975,10602.027637333307,51.25371128773509,31.164910303244877,0
2020-05-21,10933.20996,11021.66016,10933.20996,11008.30957,2787700.0,10884.531836999975,10631.055631999974,81.69200267937174,54.75677558122086,1
