Date,Open,High,Low,Close,Adj Close,Volume,MA_10,MA_30,K,D
2020/2/21,11721.16016,11755.16992,11661.62988,11686.34961,11686.34961,1952700,11720.255077999998,11816.144986666668,39.8832510437553,37.5748026077975
2020/2/24,11615.280270000001,11615.280270000001,11512.08008,11534.87012,11534.87012,2347100,11716.335059,11797.291308333333,24.07012697671571,32.319951744069606
2020/2/25,11506.74023,11567.08984,11415.469729999999,11540.23047,11540.23047,2158400,11703.954102,11778.284667666665,20.315800425086277,28.08972614851911
2020/2/26,11433.62012,11433.62012,11433.62012,11433.62012,11433.62012,2640000,11669.897071,11760.959993333332,13.958201187872012,19.448042863224682
2020/2/27,11436.95996,11470.23047,11274.51953,11292.16992,11292.16992,3360600,11619.936036,11741.354980333334,12.776348063014204,15.683449891990845
2020/3/2,11184.66016,11282.049809999999,11049.84961,11170.45996,11170.45996,3204100,11555.412012,11719.800325333335,9.801493073991656,12.178680774959304
2020/3/3,11279.86035,11390.24023,11279.86035,11327.719729999999,11327.719729999999,2572300,11511.833008,11698.369987000002,26.24152348097679,16.273121539327562
2020/3/4,11368.25,11392.34961,11297.80957,11392.34961,11392.34961,2245300,11486.169922000001,11677.293294333333,52.175373161713274,29.406129905560586
2020/3/5,11454.65039,11525.32031,11454.65039,11514.82031,11514.82031,2291000,11461.767969,11657.339973999999,77.6623586066566,52.026418416448905
2020/3/6,11471.36035,11471.36035,11310.32031,11321.80957,11321.80957,2518500,11421.439942,11628.739973999998,78.82114936093895,69.5529603764363
2020/3/9,11221.75977,11221.75977,10977.63965,10977.63965,10977.63965,3897400,11350.568946,11591.598632999998,51.66323673221783,69.38224823327114
2020/3/10,10907.62012,11032.469729999999,10830.219729999999,11003.54004,11003.54004,3544100,11297.435937999999,11556.152311333331,27.37753791682763,52.62064133666149
2020/3/11,11022.82031,11088.23047,10885.91016,10893.75,10893.75,2804700,11232.787890999998,11516.26764333333,11.358096310800633,30.132956986615387
2020/3/12,10845.38965,10845.38965,10359.66992,10422.32031,10422.32031,4844200,11131.657909999998,11459.721321666664,13.236628568502352,17.32408759871023
2020/3/13,10091.030270000001,10171.2002,9636.150391,10128.87012,10128.87012,5906200,11015.32793,11416.62565133333,15.283263756312016,13.292662878538357
2020/3/16,10069.41992,10130.799809999999,9717.769531,9717.769531,9717.769531,3783600,10870.058887099998,11357.381315366663,14.110303606567959,14.210065310460799
2020/3/17,9538.639648,9677.070313,9371.349609,9439.629883,9439.629883,4504100,10681.249902399999,11293.53831413333,13.55743650422689,14.317001289035645
2020/3/18,9453.980469,9509.610352,9218.669922,9218.669922,9218.669922,3991000,10463.881933599998,11215.62998086666,3.199279454837574,10.289006521877496
2020/3/19,9085.280273,9085.280273,8523.629883,8681.339844,8681.339844,5702600,10180.533887,11119.220638333329,4.516423477331543,7.091046478798691
